YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1990,8,14,97.66,5.47,7.3,3.69,3.61,255.19,7.77,9.08,5.91,3.17,255.12
1990,8,15,97.63,5.24,7.1,3.54,3.55,267.5,7.5,8.7,5.91,2.8,267.31
1990,8,16,97.72,4.12,5.47,3.12,2.35,337.88,6.06,7.05,4.26,2.78,337.75
1990,8,17,97.75,5.52,7.3,3.74,3.56,253.19,8.1,9.54,7.02,2.52,253.31
1990,8,18,97.65,6.28,9.02,3.85,5.17,344.94,8.97,10.57,5.37,5.2,300.12
1990,8,19,97.57,5.42,7.38,3.2,4.17,309.06,7.84,9.74,5.39,4.35,309.06
1990,8,20,97.57,5.1,6.71,3.41,3.3,274.81,7.66,10.04,5.43,4.61,259.88
1990,8,21,97.61,4.47,5.88,3.14,2.74,269.81,6.86,9.24,4.23,5.02,269.56
1990,8,22,97.56,4.14,5.57,2.89,2.68,285.94,6.02,7.77,4.49,3.27,285.81
1990,8,23,97.59,4.06,4.94,3.31,1.62,333.19,6.12,7.85,4.52,3.32,333.12
1990,8,24,97.67,3.48,4.5,1.33,3.16,300.62,5.0,8.2,1.85,6.34,300.69
1990,8,25,97.53,5.23,8.38,2.35,6.03,322.19,7.16,9.63,3.52,6.11,322.06
1990,8,26,97.55,4.84,6.8,3.29,3.52,262.0,6.9,8.04,5.61,2.43,261.69
1990,8,27,97.57,4.47,6.6,3.31,3.28,310.75,6.54,7.48,4.7,2.78,310.75
1990,8,28,97.74,4.45,5.79,3.05,2.73,238.44,6.56,8.42,5.03,3.39,238.5
1990,8,29,97.84,4.43,5.52,3.37,2.16,316.62,6.57,8.34,5.05,3.29,316.31
1990,8,30,97.66,4.77,5.92,3.57,2.35,344.81,7.2,9.37,5.34,4.03,344.81
1990,8,31,97.51,5.17,6.34,3.66,2.7,318.5,7.48,9.38,6.5,2.88,318.62
1990,9,1,97.56,4.93,6.76,3.41,3.34,244.0,7.13,8.33,5.95,2.38,243.88
1990,9,2,97.63,5.23,6.74,3.52,3.22,268.94,7.69,9.72,6.33,3.39,269.12
1990,9,3,97.57,4.86,6.43,3.54,2.89,280.75,7.4,9.33,4.6,4.73,280.75
1990,9,4,97.56,4.6,7.34,3.11,4.23,347.12,6.73,8.99,3.91,5.08,347.19
1990,9,5,97.61,4.87,7.0,3.04,3.97,202.56,7.26,9.31,4.78,4.53,202.44
1990,9,6,97.67,3.84,5.7,2.64,3.07,311.81,5.85,8.15,3.05,5.09,326.25
1990,9,7,97.74,3.97,6.78,2.19,4.6,206.81,5.88,7.76,2.38,5.38,206.56
1990,9,8,97.79,4.65,7.53,2.55,4.97,72.0,6.65,8.98,3.63,5.34,86.94
1990,9,9,97.83,5.94,9.44,3.9,5.54,107.94,8.62,10.7,6.0,4.7,107.81
1990,9,10,97.78,5.3,7.1,3.73,3.38,217.62,7.71,9.27,5.57,3.7,217.56
1990,9,11,97.69,4.67,6.0,3.42,2.58,221.81,6.8,9.64,4.92,4.72,221.75
1990,9,12,97.62,3.13,4.32,1.27,3.05,180.12,4.41,7.25,1.77,5.48,179.94
1990,9,13,97.66,4.29,6.44,1.92,4.52,306.69,6.11,10.53,2.74,7.79,307.0
1990,9,14,97.99,6.83,8.11,5.37,2.75,204.5,8.87,10.61,7.46,3.15,189.62
1990,9,15,98.03,6.83,8.91,4.24,4.67,294.19,9.16,10.88,7.44,3.44,279.62
1990,9,16,98.0,6.52,8.14,4.33,3.8,320.75,8.84,10.39,7.23,3.16,291.19
1990,9,17,97.97,7.11,8.75,5.16,3.59,325.44,9.49,10.41,7.99,2.41,311.0
1990,9,18,97.96,6.41,8.27,4.47,3.8,164.88,8.92,9.91,7.27,2.64,165.25
1990,9,19,97.84,5.1,7.33,3.34,3.99,246.25,7.53,8.51,4.9,3.61,246.06
1990,9,20,97.79,4.47,7.11,2.96,4.15,279.06,6.6,7.9,4.23,3.67,279.0
1990,9,21,97.77,4.48,6.01,3.21,2.8,248.88,6.76,8.01,4.55,3.45,248.94
1990,9,22,97.91,4.72,6.34,3.43,2.91,168.94,6.92,8.3,5.79,2.52,168.81
